Time,Intensity
0.37547,3913
0.3758,4249
0.37614,4344
0.37647,4337
0.3768,4031
0.37714,3990
0.37747,4129
0.3778,3848
0.37814,4295
0.37847,4507
0.3788,4720
0.37914,4096
0.37947,4054
0.3798,3750
0.38014,4119
0.38047,3826
0.3808,4799
0.38114,4695
0.38147,3949
0.3818,4131
0.38214,3863
0.38247,4031
0.3828,4319
0.38314,4682
0.38347,4642
0.3838,3844
0.38414,3934
0.38447,4124
0.3848,4937
0.38514,4334
0.38547,3861
0.3858,4046
0.38614,4198
0.38647,4855
0.3868,4763
0.38714,4012
0.38747,4042
0.3878,4363
0.38814,4710
0.38847,5037
0.3888,4165
0.38914,5697
0.38947,7483
0.3898,11584
0.39014,19532
0.39047,28145
0.3908,36823
0.39114,45897
0.39147,50396
0.3918,51292
0.39214,48565
0.39247,38658
0.3928,29114
0.39314,20103
0.39347,13948
0.3938,9904
0.39414,7033
0.39447,6109
0.3948,5616
0.39514,5064
0.39547,4871
0.3958,5212
0.39614,4567
0.39647,4186
0.3968,4440
0.39714,4382
0.39747,4559
0.3978,4976
0.39814,4883
0.39847,4423
0.3988,4613
0.39914,4117
0.39947,4472
0.3998,4440
0.40014,4657
0.40047,4860
0.4008,4527
0.40114,4142
0.40147,4398
0.4018,4109
0.40214,4430
0.40247,4735
0.4028,4191
0.40314,4087
0.40347,4233
0.4038,4296
0.40414,4951
0.40447,4198
0.4048,4280
0.40514,4417
0.40547,4221
0.4058,4720
0.40614,4150
0.40647,4168
0.4068,3943
0.40714,4330
0.40747,4597
0.4078,3681
0.40814,3746
0.40847,3968
0.4088,4122
0.40914,4271
0.40947,4629
0.4098,3989
0.41014,4025
0.41047,3957
0.4108,4043
0.41114,4174
0.41147,3839
0.4118,4530
0.41214,4485
0.41247,4527
0.4128,4300
0.41314,4234
0.41347,4813
0.4138,4452
0.41414,4890
0.41447,6197
0.4148,5489
0.41514,5568
0.41547,5625
0.4158,5999
0.41614,6053
0.41647,5743
0.4168,6478
0.41714,6372
0.41747,6294
0.4178,6032
0.41814,5869
0.41847,5916
0.4188,6178
0.41914,6124
0.41947,6639
0.4198,6398
0.42014,6147
0.42047,5468
0.4208,5811
0.42114,5381
0.42147,6351
0.4218,6439
0.42214,6052
0.42247,5907
0.4228,6132
0.42314,5955
0.42347,6252
0.4238,6079
0.42414,6469
0.42447,6701
0.4248,7559
0.42514,7846
0.42547,7684
0.4258,7000
0.42614,7275
0.42647,7907
0.4268,8981
0.42714,9830
0.42747,13303
0.4278,18851
0.42814,25723
0.42847,36843
0.4288,49193
0.42914,59247
0.42947,62706
0.4298,60915
0.43014,52042
0.43047,39943
0.4308,28148
0.43114,18693
0.43147,12959
0.4318,8431
0.43214,6355
0.43247,5557
0.4328,4977
0.43314,5035
0.43347,4480
0.4338,4422
0.43414,4361
0.43447,3831
0.4348,4156
0.43514,3703
0.43547,4004
0.4358,4079
0.43614,4452
0.43647,4471
0.4368,4514
0.43714,3990
0.43747,4052
0.4378,3660
0.43814,4130
0.43847,4195
0.4388,4676
0.43914,4194
0.43947,4252
0.4398,3709
0.44014,4144
0.44047,4378
0.4408,4221
0.44114,3792
0.44147,3802
0.4418,3896
0.44214,3812
0.44247,4631
0.4428,3834
0.44314,3948
0.44347,3956
0.4438,3937
0.44414,4616
0.44447,3971
0.4448,3804
0.44514,3867
0.44547,4364
0.4458,4277
0.44614,3712
0.44647,3921
0.4468,4072
0.44714,4411
0.44747,4417
0.4478,4404
0.44814,4262
0.44847,3883
0.4488,4024
0.44914,4133
0.44947,3835
0.4498,4327
0.45014,4052
0.45047,4309
0.4508,4586
0.45114,4621
0.45147,3939
0.4518,4637
0.45214,3933
0.45247,4233
0.4528,4788
0.45314,4939
0.45347,4537
0.4538,4121
0.45414,4106
0.45447,4296
0.4548,4306
0.45514,4268
0.45547,4100
0.4558,4401
0.45614,4581
0.45647,3892
0.4568,3971
0.45714,3858
0.45747,4401
0.4578,4509
0.45814,4039
0.45847,3999
0.4588,4146
0.45914,4321
0.45947,4648
0.4598,4678
0.46014,4468
0.46047,4420
0.4608,4390
0.46114,4522
0.46147,5120
0.4618,6071
0.46214,6686
0.46247,9661
0.4628,15307
0.46314,24661
0.46347,37961
0.4638,53286
0.46414,66282
0.46447,75148
0.4648,75952
0.46514,67637
0.46547,53073
0.4658,38176
0.46614,23490
0.46647,15146
0.4668,9546
0.46714,7122
0.46747,6073
0.4678,5368
0.46814,4421
0.46847,4428
0.4688,4506
0.46914,4252
0.46947,4333
0.4698,4541
0.47014,4715
0.47047,4267
0.4708,4374
0.47114,4128
0.47147,3996
0.4718,4030
0.47214,4276
0.47247,4581
0.4728,4211
0.47314,3845
0.47347,4323
0.4738,4167
0.47414,3966
0.47447,3884
0.4748,4306
0.47514,4573
0.47547,3586
0.4758,3678
0.47614,3703
0.47647,3819
0.4768,4322
0.47714,4025
0.47747,3903
0.4778,3611
0.47814,3831
0.47847,3911
0.4788,4481
0.47914,4581
0.47947,4766
0.4798,4603
0.48014,5179
0.48047,5886
0.4808,7029
0.48114,8359
0.48147,9446
0.4818,10256
0.48214,11259
0.48247,10931
0.4828,10438
0.48314,8881
0.48347,7760
0.4838,6900
0.48414,6566
0.48447,5510
0.4848,5255
0.48514,4941
0.48547,4322
0.4858,4085
0.48614,4109
0.48647,4200
0.4868,4453
0.48714,4417
0.48747,3733
0.4878,4054
0.48814,3662
0.48847,4704
0.4888,4430
0.48914,3960
0.48947,4250
0.4898,3789
0.49014,3986
0.49047,3950
0.4908,3801
0.49114,3899
0.49147,4080
0.4918,3937
0.49214,4213
0.49247,3720
0.4928,4103
0.49314,3891
0.49347,4109
0.4938,4609
0.49414,4735
0.49447,4494
0.4948,4385
0.49514,5166
0.49547,6781
0.4958,9928
0.49614,17123
0.49647,26702
0.4968,39839
0.49714,54831
0.49747,70092
0.4978,81173
0.49814,82216
0.49847,74624
0.4988,59592
0.49914,42991
0.49947,28565
0.4998,17155
0.50014,11238
0.50047,8211
0.5008,5707
0.50114,4713
0.50147,4694
0.5018,4656
0.50214,4917
0.50247,4578
0.5028,4575
0.50314,3988
0.50347,4617
0.5038,4423
0.50414,4201
0.50447,3989
0.5048,4148
0.50514,4107
0.50547,4266
0.5058,4381
0.50614,4161
0.50647,4122
0.5068,4239
0.50714,3947
0.50747,4021
0.5078,4358
0.50814,4848
0.50847,4464
0.5088,4194
0.50914,4131
0.50947,4434
0.5098,4435
0.51014,4198
0.51047,3691
0.5108,4081
0.51114,4712
0.51147,4316
0.5118,3968
0.51214,4102
0.51247,4203
0.5128,4042
0.51314,4527
0.51347,4211
0.5138,4187
0.51414,3933
0.51447,4113
0.5148,4582
0.51514,4303
0.51547,4130
0.5158,4198
0.51614,4724
0.51647,4378
0.5168,4105
0.51714,4009
0.51747,3972
0.5178,4793
0.51814,4082
0.51847,4006
0.5188,4089
0.51914,4021
0.51947,4562
0.5198,4160
0.52014,3748
0.52047,3790
0.5208,4267
0.52114,4468
0.52147,3951
0.5218,4131
0.52214,4128
0.52247,4139
0.5228,4554
0.52314,4385
0.52347,3956
0.5238,4400
0.52414,3660
0.52447,4259
0.5248,4396
0.52514,4037
0.52547,4105
0.5258,3748
0.52614,3962
0.52647,3927
0.5268,4466
0.52714,4919
0.52747,6521
0.5278,8955
0.52814,13480
0.52847,21252
0.5288,33861
0.52914,51689
0.52947,69538
0.5298,84412
0.53014,94463
0.53047,89487
0.5308,78102
0.53114,60869
0.53147,42079
0.5318,27862
0.53214,17785
0.53247,11571
0.5328,8294
0.53314,7391
0.53347,6548
0.5338,6362
0.53414,6398
0.53447,6844
0.5348,6898
0.53514,6375
0.53547,6327
0.5358,5224
0.53614,5101
0.53647,5011
0.5368,4896
0.53714,4834
0.53747,4124
0.5378,4082
0.53814,3968
0.53847,4376
0.5388,4223
0.53914,3727
0.53947,3706
0.5398,3753
0.54014,4451
0.54047,4259
0.5408,3937
0.54114,4203
0.54147,3919
0.5418,4282
0.54214,4575
0.54247,3737
0.5428,3980
0.54314,3794
0.54347,4581
0.5438,4501
0.54414,4507
0.54447,4361
0.5448,4192
0.54514,4350
0.54547,4330
0.5458,4139
0.54614,4461
0.54647,4497
0.5468,4149
0.54714,4311
0.54747,4095
0.5478,4337
0.54814,4008
0.54847,4382
0.5488,4342
0.54914,4377
0.54947,4041
0.5498,4392
0.55014,3915
0.55047,4468
0.5508,4179
0.55114,4625
0.55147,4085
0.5518,4317
0.55214,3898
0.55247,4086
0.5528,4166
0.55314,3937
0.55347,3922
0.5538,4082
0.55414,4396
0.55447,4992
0.5548,4507
0.55514,4111
0.55547,4022
0.5558,4176
0.55614,4256
0.55647,4331
0.5568,4219
0.55714,4059
0.55747,4284
0.5578,5188
0.55814,5875
0.55847,6484
0.5588,9938
0.55914,16525
0.55947,27697
0.5598,42210
0.56014,63214
0.56047,82707
0.5608,95820
0.56114,101687
0.56147,96337
0.5618,81183
0.56214,63901
0.56247,44433
0.5628,28281
0.56314,18307
0.56347,11663
0.5638,7657
0.56414,5958
0.56447,5239
0.5648,4644
0.56514,4360
0.56547,4463
0.5658,4618
0.56614,4826
0.56647,4271
0.5668,4169
0.56714,4097
0.56747,4072
0.5678,4211
0.56814,4621
0.56847,4545
0.5688,4427
0.56914,3754
0.56947,4456
0.5698,4411
0.57014,4544
0.57047,4224
0.5708,4233
0.57114,4222
0.57147,5076
0.5718,4425
0.57214,4179
0.57247,4437
0.5728,4061
0.57314,4383
0.57347,4434
0.5738,5004
0.57414,4730
0.57447,4310
0.5748,4337
