time_s,ordinate_values
7.39,-3E-6
7.4,-4E-6
7.41,-5E-6
7.42,-6E-6
7.43,-7E-6
7.44,-8E-6
7.45,-8E-6
7.46,-8E-6
7.47,-7E-6
7.48,-7E-6
7.49,-6E-6
7.5,-6E-6
7.51,-6E-6
7.52,-8E-6
7.53,-1E-5
7.54,-1.3E-5
7.55,-1.5E-5
7.56,-1.6E-5
7.57,-1.6E-5
7.58,-1.5E-5
7.59,-1.3E-5
7.6,-1E-5
7.61,-7E-6
7.62,-4E-6
7.63,-1E-6
7.64,0
7.65,2E-6
7.66,3E-6
7.67,4E-6
7.68,5E-6
7.69,5E-6
7.7,4E-6
7.71,2E-6
7.72,1E-6
7.73,0
7.74,-1E-6
7.75,-1E-6
7.76,-2E-6
7.77,-2E-6
7.78,-3E-6
7.79,-3E-6
7.8,-4E-6
7.81,-4E-6
7.82,-4E-6
7.83,-4E-6
7.84,-4E-6
7.85,-3E-6
7.86,-3E-6
7.87,-2E-6
7.88,-1E-6
7.89,0
7.9,0
7.91,2E-6
7.92,3E-6
7.93,3E-6
7.94,4E-6
7.95,4E-6
7.96,4E-6
7.97,3E-6
7.98,3E-6
7.99,2E-6
8,0
8.01,-1E-6
8.02,-4E-6
8.03,-8E-6
8.04,-1E-5
8.05,-1.2E-5
8.06,-1.3E-5
8.07,-1.2E-5
8.08,-8E-6
8.09,-3E-6
8.1,2E-6
8.11,8E-6
8.12,1.5E-5
8.13,2E-5
8.14,2.4E-5
8.15,2.6E-5
8.16,2.7E-5
8.17,2.7E-5
8.18,2.6E-5
8.19,2.5E-5
8.2,2.3E-5
8.21,1.9E-5
8.22,1.4E-5
8.23,9E-6
8.24,4E-6
8.25,0
8.26,-3E-6
8.27,-6E-6
8.28,-9E-6
8.29,-1.1E-5
8.3,-1.3E-5
8.31,-1.6E-5
8.32,-1.7E-5
8.33,-1.8E-5
8.34,-1.8E-5
8.35,-1.7E-5
8.36,-1.6E-5
8.37,-1.3E-5
8.38,-1E-5
8.39,-8E-6
8.4,-5E-6
8.41,-4E-6
8.42,-3E-6
8.43,-2E-6
8.44,-2E-6
8.45,-1E-6
8.46,-1E-6
8.47,0
8.48,0
8.49,0
8.5,0
8.51,0
8.52,-1E-6
8.53,-1E-6
8.54,-2E-6
8.55,-1E-6
8.56,0
8.57,1E-6
8.58,3E-6
8.59,4E-6
8.6,4E-6
8.61,5E-6
8.62,5E-6
8.63,4E-6
8.64,4E-6
8.65,4E-6
8.66,4E-6
8.67,3E-6
8.68,3E-6
8.69,3E-6
8.7,2E-6
8.71,1E-6
8.72,0
8.73,-1E-6
8.74,-3E-6
8.75,-5E-6
8.76,-6E-6
8.77,-7E-6
8.78,-9E-6
8.79,-1E-5
8.8,-1.2E-5
8.81,-1.4E-5
8.82,-1.5E-5
8.83,-1.7E-5
8.84,-1.8E-5
8.85,-1.8E-5
8.86,-1.7E-5
8.87,-1.6E-5
8.88,-1.5E-5
8.89,-1.5E-5
8.9,-1.5E-5
8.91,-1.6E-5
8.92,-1.7E-5
8.93,-1.9E-5
8.94,-2.1E-5
8.95,-2.2E-5
8.96,-2.3E-5
8.97,-2.3E-5
8.98,-2.3E-5
8.99,-2.2E-5
9,-2.1E-5
9.01,-1.9E-5
9.02,-1.8E-5
9.03,-1.7E-5
9.04,-1.6E-5
9.05,-1.5E-5
9.06,-1.6E-5
9.07,-1.6E-5
9.08,-1.6E-5
9.09,-1.6E-5
9.1,-1.5E-5
9.11,-1.3E-5
9.12,-1.1E-5
9.13,-1E-5
9.14,-8E-6
9.15,-6E-6
9.16,-5E-6
9.17,-4E-6
9.18,-3E-6
9.19,-1E-6
9.2,0
9.21,0
9.22,0
9.23,0
9.24,0
9.25,0
9.26,0
9.27,0
9.28,0
9.29,0
9.3,-1E-6
9.31,-3E-6
9.32,-4E-6
9.33,-6E-6
9.34,-8E-6
9.35,-9E-6
9.36,-9E-6
9.37,-9E-6
9.38,-8E-6
9.39,-7E-6
9.4,-6E-6
9.41,-5E-6
9.42,-5E-6
9.43,-5E-6
9.44,-4E-6
9.45,-4E-6
9.46,-4E-6
9.47,-4E-6
9.48,-3E-6
9.49,-3E-6
9.5,-3E-6
9.51,-3E-6
9.52,-4E-6
9.53,-5E-6
9.54,-5E-6
9.55,-5E-6
9.56,-5E-6
9.57,-4E-6
9.58,-3E-6
9.59,-2E-6
9.6,-1E-6
9.61,0
9.62,0
9.63,1E-6
9.64,2E-6
9.65,3E-6
9.66,4E-6
9.67,3E-6
9.68,2E-6
9.69,1E-6
9.7,0
9.71,-1E-6
9.72,-2E-6
9.73,-2E-6
9.74,-1E-6
9.75,0
9.76,0
9.77,1E-6
9.78,1E-6
9.79,0
9.8,0
9.81,0
9.82,0
9.83,1E-6
9.84,2E-6
9.85,3E-6
9.86,5E-6
9.87,6E-6
9.88,8E-6
9.89,9E-6
9.9,1.1E-5
9.91,1.1E-5
9.92,1.2E-5
9.93,1.2E-5
9.94,1.1E-5
9.95,1.1E-5
9.96,1E-5
9.97,8E-6
9.98,7E-6
9.99,4E-6
10,2E-6
10.01,0
10.02,0
10.03,-1E-6
10.04,-1E-6
10.05,0
10.06,0
10.07,1E-6
10.08,1E-6
10.09,1E-6
10.1,0
10.11,0
10.12,0
10.13,0
10.14,0
10.15,0
10.16,0
10.17,1E-6
10.18,3E-6
10.19,4E-6
10.2,5E-6
10.21,5E-6
10.22,4E-6
10.23,4E-6
10.24,4E-6
10.25,4E-6
