Deltat;T;DeltaT;pinj;pdet
0.04;86.223;40.221;255.76383;225.00569
0.05;86.469;40.221;255.77901;224.9737
0.04;86.838;39.975;255.80175;224.92578
0.05;86.961;40.098;255.80932;224.90982
0.05;87.33;39.852;255.832;224.86199
0.05;87.453;39.975;255.83955;224.84606
0.04;87.822;39.975;255.86219;224.79832
0.05;87.822;40.221;255.86219;224.79832
0.05;88.191;39.975;255.88479;224.75066
0.04;88.437;39.975;255.89983;224.71892
0.05;88.929;39.729;255.92987;224.65553
0.04;89.175;39.975;255.94486;224.62388
0.05;89.544;39.852;255.96732;224.57647
0.05;89.79;39.729;255.98227;224.5449
0.04;90.036;39.606;255.99721;224.51336
0.05;90.282;39.606;256.01213;224.48185
0.05;90.651;39.36;256.03447;224.43465
0.04;90.897;39.36;256.04935;224.40322
0.05;91.143;39.237;256.06421;224.37181
0.04;91.389;39.237;256.07906;224.34044
0.05;91.635;39.237;256.09389;224.3091
0.05;92.004;38.991;256.1161;224.26215
0.04;92.25;38.991;256.13089;224.23089
0.05;92.742;38.745;256.16041;224.16845
0.05;92.865;38.745;256.16778;224.15286
0.05;92.865;38.868;256.16778;224.15286
0.04;93.234;38.745;256.18987;224.10614
0.05;93.357;38.868;256.19722;224.09058
0.05;93.849;38.745;256.2266;224.02842
0.04;94.341;38.376;256.25591;223.96638
0.05;94.587;38.622;256.27055;223.9354
0.04;94.833;38.622;256.28516;223.90446
0.05;95.079;38.499;256.29976;223.87355
0.05;95.448;38.499;256.32163;223.82723
0.04;95.571;38.499;256.32891;223.81181
0.05;95.94;38.376;256.35073;223.76559
0.05;96.186;38.253;256.36525;223.73481
0.04;96.432;38.253;256.37976;223.70406
0.05;96.678;38.253;256.39426;223.67334
0.04;96.801;38.376;256.4015;223.658
0.05;96.924;38.622;256.40873;223.64266
0.05;97.293;38.376;256.43042;223.59668
0.04;97.539;38.376;256.44485;223.56607
0.05;97.908;38.376;256.46648;223.52021
0.04;98.277;38.376;256.48807;223.47441
0.05;98.523;38.499;256.50244;223.44392
0.05;98.892;38.376;256.52397;223.39824
0.05;99.138;38.376;256.5383;223.36782
0.04;99.63;38.253;256.56692;223.30707
0.05;99.876;38.253;256.5812;223.27675
0.05;100.122;38.007;256.59547;223.24645
0.04;100.491;38.007;256.61684;223.20106
0.05;100.614;38.007;256.62396;223.18594
0.04;100.86;38.007;256.63818;223.15573
0.05;101.106;38.13;256.65238;223.12555
0.05;101.229;38.13;256.65948;223.11047
0.04;101.598;38.007;256.68074;223.06528
0.05;102.09;37.884;256.70904;223.00513
0.05;102.336;37.884;256.72316;222.9751
0.04;102.705;37.761;256.74432;222.93011
0.05;102.951;37.761;256.7584;222.90015
0.05;103.197;37.638;256.77247;222.87023
0.04;103.32;37.761;256.7795;222.85527
0.05;103.566;37.638;256.79354;222.82539
0.04;103.812;37.515;256.80757;222.79554
0.05;103.935;37.761;256.81458;222.78062
0.05;104.181;37.638;256.82859;222.75081
0.04;104.55;37.515;256.84957;222.70615
0.05;104.796;37.392;256.86353;222.67642
0.05;105.165;37.392;256.88445;222.63187
0.04;105.411;37.269;256.89838;222.6022
0.05;105.534;37.392;256.90534;222.58738
0.05;105.903;37.269;256.92619;222.54297
0.04;106.272;37.146;256.947;222.49861
0.05;106.395;37.269;256.95393;222.48385
0.05;106.641;37.392;256.96778;222.45433
0.04;107.01;37.269;256.98852;222.41011
0.05;107.256;37.269;257.00233;222.38066
0.05;107.502;37.269;257.01612;222.35125
0.04;107.871;37.269;257.03679;222.30718
0.05;108.117;37.269;257.05054;222.27784
0.04;108.363;37.392;257.06428;222.24853
0.05;108.732;37.392;257.08486;222.20461
0.05;109.101;37.392;257.1054;222.16076
0.04;109.47;37.269;257.12591;222.11698
0.05;109.716;37.146;257.13957;222.08782
0.05;109.962;37.146;257.15321;222.0587
0.04;110.208;37.023;257.16683;222.0296
0.05;110.577;36.9;257.18724;221.98601
0.04;110.577;37.146;257.18724;221.98601
0.05;110.823;37.146;257.20082;221.95699
0.05;111.069;37.146;257.21439;221.92799
0.04;111.315;37.146;257.22794;221.89903
0.05;111.561;37.146;257.24148;221.87009
0.05;111.807;37.269;257.255;221.84118
0.05;112.299;37.023;257.282;221.78345
0.04;112.668;37.023;257.30221;221.74023
0.05;112.914;37.023;257.31567;221.71145
0.04;113.16;37.023;257.32911;221.6827
0.05;113.406;36.9;257.34253;221.65397
0.05;113.406;37.269;257.34253;221.65397
0.04;113.775;37.023;257.36264;221.61094
0.05;114.021;37.146;257.37602;221.58229
0.05;114.267;37.146;257.38939;221.55367
0.04;114.759;37.023;257.41609;221.49651
0.05;115.128;36.9;257.43607;221.45371
0.04;115.497;36.9;257.45601;221.41098
0.05;115.866;36.654;257.47593;221.36831
0.05;115.989;36.654;257.48256;221.3541
0.04;116.358;36.654;257.50242;221.31152
0.05;116.604;36.531;257.51565;221.28316
0.05;116.727;36.777;257.52226;221.269
0.04;116.973;36.777;257.53546;221.24069
0.05;117.096;36.777;257.54206;221.22654
0.04;117.219;36.777;257.54865;221.2124
0.05;117.588;36.9;257.5684;221.17003
0.05;117.957;36.777;257.58813;221.12772
0.05;118.326;36.9;257.60781;221.08548
0.04;118.572;36.9;257.62092;221.05735
0.05;119.064;36.777;257.64708;221.00118
0.05;119.433;36.777;257.66667;220.95912
0.04;119.802;36.654;257.68622;220.91713
0.05;119.925;36.777;257.69273;220.90315
0.04;120.048;36.9;257.69924;220.88917
0.05;120.294;36.654;257.71224;220.86124
0.05;120.417;36.777;257.71874;220.84728
0.04;120.786;36.777;257.7382;220.80545
0.05;121.155;36.654;257.75763;220.76369
0.05;121.155;36.9;257.75763;220.76369
0.04;121.278;36.9;257.7641;220.74978
0.05;121.524;36.9;257.77702;220.72199
0.04;121.893;36.9;257.79639;220.68035
0.05;122.508;36.654;257.82859;220.6111
0.05;122.877;36.777;257.84786;220.56962
0.04;123.123;36.9;257.86069;220.54201
0.05;123.492;36.777;257.87991;220.50064
0.05;123.738;36.9;257.8927;220.4731
0.05;123.984;36.777;257.90548;220.44558
0.04;124.23;36.654;257.91825;220.41809
0.05;124.476;36.654;257.931;220.39063
0.04;124.599;36.654;257.93737;220.37691
0.05;124.845;36.777;257.9501;220.34949
0.05;124.968;37.023;257.95646;220.33579
0.04;125.214;37.023;257.96916;220.30841
0.05;125.583;37.023;257.9882;220.2674
0.05;126.075;36.777;258.01352;220.2128
0.05;126.321;36.9;258.02616;220.18555
0.04;126.567;36.9;258.03879;220.15832
0.05;126.69;37.146;258.0451;220.14471
0.04;127.059;37.146;258.064;220.10394
0.05;127.305;37.146;258.07658;220.0768
0.05;127.551;37.146;258.08915;220.04968
0.04;127.797;37.269;258.1017;220.02258
0.05;128.043;37.146;258.11424;219.99552
0.05;128.535;37.146;258.13928;219.94147
0.05;128.781;37.392;258.15177;219.91449
0.04;129.15;37.269;258.17049;219.87406
0.05;129.396;37.392;258.18295;219.84715
0.04;129.765;37.269;258.20161;219.80682
0.05;130.011;37.392;258.21404;219.77998
0.05;130.134;37.515;258.22024;219.76656
0.04;130.503;37.515;258.23884;219.72636
0.05;130.749;37.515;258.25122;219.69959
0.05;131.118;37.515;258.26977;219.65949
0.05;131.241;37.638;258.27594;219.64614
0.04;131.61;37.392;258.29445;219.60612
0.05;131.733;37.638;258.30061;219.59279
0.04;132.102;37.515;258.31907;219.55285
0.05;132.225;37.638;258.32521;219.53955
0.05;132.471;37.761;258.33749;219.51297
0.05;132.84;37.761;258.35589;219.47315
0.04;133.086;37.761;258.36814;219.44664
0.05;133.455;37.761;258.38648;219.40692
0.05;133.824;37.638;258.40479;219.36726
0.04;134.07;37.761;258.41698;219.34086
0.05;134.316;37.761;258.42916;219.31448
0.05;134.685;37.761;258.44739;219.27496
0.04;134.931;37.638;258.45953;219.24864
0.05;135.177;37.761;258.47166;219.22236
0.05;135.423;37.761;258.48377;219.1961
0.04;135.423;38.007;258.48377;219.1961
0.05;135.669;38.007;258.49587;219.16986
0.05;135.915;38.13;258.50795;219.14366
0.04;136.53;38.007;258.5381;219.07825
0.05;136.899;38.007;258.55615;219.03909
0.05;137.268;37.884;258.57417;218.99999
0.04;137.637;38.007;258.59215;218.96094
0.05;137.76;38.007;258.59814;218.94794
0.05;138.006;38.13;258.6101;218.92196
0.04;138.129;38.253;258.61608;218.90898
0.05;138.621;38.007;258.63996;218.85712
0.05;138.867;38.13;258.65187;218.83122
0.04;138.99;38.253;258.65783;218.81829
0.05;139.236;38.253;258.66972;218.79243
0.05;139.482;38.253;258.68161;218.76661
0.05;139.728;38.253;258.69347;218.74081
0.04;139.974;38.376;258.70533;218.71503
0.05;140.22;38.499;258.71717;218.68929
0.04;140.466;38.499;258.729;218.66356
0.05;140.835;38.376;258.74671;218.62503
0.05;141.081;38.622;258.75851;218.59937
0.04;141.327;38.622;258.77028;218.57374
0.05;141.819;38.622;258.7938;218.52256
0.05;142.065;38.622;258.80554;218.497
0.05;142.311;38.868;258.81727;218.47148
0.04;142.68;38.745;258.83483;218.43323
0.05;142.926;38.745;258.84652;218.40777
0.04;143.172;38.745;258.85819;218.38233
0.05;143.541;38.745;258.87568;218.34422
0.05;143.787;38.868;258.88733;218.31885
0.05;143.91;38.868;258.89314;218.30617
0.04;144.156;38.991;258.90477;218.28084
0.05;144.402;39.237;258.91637;218.25553
0.05;144.771;39.114;258.93376;218.21762
0.04;144.771;39.36;258.93376;218.21762
0.05;145.263;39.237;258.9569;218.16715
0.04;145.509;39.36;258.96845;218.14196
0.05;145.878;39.237;258.98574;218.10421
0.05;146.247;39.237;259.00301;218.06653
0.05;146.616;39.237;259.02025;218.0289
0.04;146.862;39.36;259.03172;218.00385
0.05;146.985;39.36;259.03745;217.99133
0.05;147.231;39.36;259.04891;217.96631
0.04;147.477;39.36;259.06035;217.94132
0.05;147.6;39.483;259.06606;217.92884
0.05;147.969;39.483;259.08319;217.89142
0.04;148.338;39.36;259.10029;217.85406
0.05;148.584;39.606;259.11167;217.82918
0.05;148.83;39.729;259.12304;217.80433
0.04;149.199;39.729;259.14006;217.7671
0.05;149.322;39.975;259.14573;217.7547
0.05;149.691;39.975;259.16272;217.71755
0.04;149.937;40.098;259.17403;217.69281
0.05;150.429;40.098;259.1966;217.64341
0.05;150.675;40.098;259.20787;217.61875
0.05;150.921;40.098;259.21913;217.59411
0.04;151.29;39.975;259.23598;217.5572
0.05;151.413;40.098;259.2416;217.54491
0.04;151.782;40.098;259.25842;217.50808
0.05;151.905;40.221;259.26401;217.49581
0.05;152.151;40.221;259.2752;217.4713
0.05;152.397;40.221;259.28638;217.44681
0.04;152.766;40.221;259.30312;217.41013
0.05;153.012;40.221;259.31426;217.3857
0.05;153.258;40.344;259.32539;217.3613
0.04;153.381;40.344;259.33096;217.34911
0.05;153.75;40.344;259.34762;217.31257
0.05;153.996;40.221;259.35871;217.28824
0.04;154.365;40.098;259.37532;217.2518
0.05;154.611;40.221;259.38638;217.22754
0.05;154.98;40.098;259.40295;217.19119
0.04;155.226;40.221;259.41397;217.16698
0.05;155.472;40.221;259.42499;217.1428
0.05;155.718;40.467;259.43599;217.11865
0.05;156.333;40.221;259.46343;217.05837
0.04;156.579;40.344;259.47439;217.0343
0.05;156.825;40.467;259.48533;217.01026
0.04;156.948;40.59;259.4908;216.99825
0.05;157.317;40.467;259.50718;216.96225
0.05;157.44;40.59;259.51263;216.95026
0.04;157.686;40.59;259.52353;216.9263
0.05;157.932;40.59;259.53442;216.90237
0.05;158.055;40.713;259.53985;216.89041
0.05;158.424;40.836;259.55615;216.85457
0.04;158.793;40.836;259.57241;216.81879
0.05;159.162;40.836;259.58865;216.78306
0.04;159.408;41.082;259.59946;216.75928
0.05;159.777;41.082;259.61565;216.72364
0.05;160.023;41.082;259.62643;216.69991
0.04;160.392;41.082;259.64257;216.66437
0.05;160.638;41.082;259.65332;216.6407
0.05;160.761;41.328;259.65868;216.62888
0.05;161.13;41.205;259.67477;216.59344
0.04;161.376;41.205;259.68548;216.56984
0.05;161.745;41.205;259.70152;216.5345
0.04;161.868;41.328;259.70685;216.52273
0.05;162.114;41.451;259.71752;216.4992
0.05;162.483;41.328;259.73351;216.46396
0.05;162.729;41.451;259.74415;216.4405
0.04;162.975;41.574;259.75477;216.41706
0.05;163.098;41.697;259.76008;216.40535
